start_ip|end_ip|country|region|city|conn-speed|country-conf|region-conf|city-conf|metro-code|latitude|longitude|country-code|region-code|city-code|continent-code|two-letter-country|area-code|zip-code|gmt-offset|in-dst|zip-code-text|zip-country|isp-name|
0.0.0.0|0.0.0.255|***|***|reserved|broadband|5|4|4|0|000.000|0000.000|999|5383|3403|0|**|0|0|9999|?|?|?|?|
0.0.1.0|0.255.255.255|***|***|reserved|broadband|5|4|3|0|000.000|0000.000|999|5383|3403|0|**|0|0|9999|?|?|?|?|
1.0.0.0|1.0.0.255|aus|ql|milton|broadband|5|5|4|-1|-27.471|0153.005|36|694|22581|3|au|0|0|+1000|n|4064|aus|?|
1.0.1.0|1.0.3.255|chn|35|fuzhou|broadband|5|4|4|-1|026.069|0119.303|156|10717|35075|4|cn|0|0|+800|n|350000|chn|?|
1.0.4.0|1.0.7.255|aus|ql|brisbane|broadband|5|3|3|-1|-27.472|0153.027|36|694|3719|3|au|0|0|+1000|n|4000|aus|big red group|
1.0.8.0|1.0.15.255|chn|44|guangzhou|broadband|5|4|4|-1|023.125|0113.237|156|10770|7392|4|cn|0|0|+800|n|510000|chn|?|
1.0.16.0|1.0.24.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|?|
1.0.25.0|1.0.31.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.0.32.0|1.0.63.255|chn|44|guangzhou|broadband|5|4|4|-1|023.125|0113.237|156|10770|7392|4|cn|0|0|+800|n|510000|chn|?|
1.0.64.0|1.0.127.255|jpn|34|hiroshima|broadband|5|4|4|-1|034.384|0132.447|392|9620|11131|4|jp|0|0|+900|n|564-0052|jpn|jpnic|
1.0.128.0|1.0.255.255|tha|10|bangkok|broadband|5|4|4|-1|013.749|0100.516|764|12224|11078|4|th|0|0|+700|n|10600|tha|?|
1.1.0.0|1.1.0.255|chn|35|fuzhou|broadband|5|4|4|-1|026.069|0119.303|156|10717|35075|4|cn|0|0|+800|n|350000|chn|?|
1.1.1.0|1.1.1.0|aus|ql|milton|broadband|5|5|4|-1|-27.471|0153.005|36|694|22581|3|au|0|0|+1000|n|4064|aus|?|
1.1.1.1|1.1.1.1|aus|ql|milton|broadband|5|5|4|-1|-27.471|0153.005|36|694|22581|3|au|0|0|+1000|n|4064|aus|african network information center|
1.1.1.2|1.1.1.255|aus|ql|milton|broadband|5|5|4|-1|-27.471|0153.005|36|694|22581|3|au|0|0|+1000|n|4064|aus|?|
1.1.2.0|1.1.7.255|chn|35|fuzhou|broadband|5|4|4|-1|026.069|0119.303|156|10717|35075|4|cn|0|0|+800|n|350000|chn|?|
1.1.8.0|1.1.63.255|chn|44|guangzhou|broadband|5|4|4|-1|023.125|0113.237|156|10770|7392|4|cn|0|0|+800|n|510000|chn|?|
1.1.64.0|1.1.127.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|?|
1.1.128.0|1.1.255.255|tha|10|bangkok|broadband|5|4|4|-1|013.749|0100.516|764|12224|11078|4|th|0|0|+700|n|10600|tha|?|
1.2.0.0|1.2.1.255|chn|35|fuzhou|broadband|5|4|4|-1|026.069|0119.303|156|10717|35075|4|cn|0|0|+800|n|350000|chn|?|
1.2.2.0|1.2.2.255|chn|11|beijing|broadband|5|5|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|?|
1.2.3.0|1.2.3.255|aus|ql|milton|broadband|5|5|4|-1|-27.471|0153.005|36|694|22581|3|au|0|0|+1000|n|4064|aus|?|
1.2.4.0|1.2.7.255|chn|35|fuzhou|broadband|5|4|4|-1|026.069|0119.303|156|10717|35075|4|cn|0|0|+800|n|350000|chn|?|
1.2.8.0|1.2.127.255|chn|44|guangzhou|broadband|5|4|4|-1|023.125|0113.237|156|10770|7392|4|cn|0|0|+800|n|510000|chn|?|
1.2.128.0|1.2.255.255|tha|10|bangkok|broadband|5|4|4|-1|013.749|0100.516|764|12224|11078|4|th|0|0|+700|n|10600|tha|?|
1.3.0.0|1.3.255.255|chn|44|guangzhou|broadband|5|4|4|-1|023.125|0113.237|156|10770|7392|4|cn|0|0|+800|n|510000|chn|?|
1.4.0.0|1.4.0.255|aus|ql|milton|broadband|5|5|4|-1|-27.471|0153.005|36|694|22581|3|au|0|0|+1000|n|4064|aus|?|
1.4.1.0|1.4.3.255|chn|35|fuzhou|broadband|5|4|4|-1|026.069|0119.303|156|10717|35075|4|cn|0|0|+800|n|350000|chn|?|
1.4.4.0|1.4.4.255|chn|11|beijing|broadband|5|5|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|?|
1.4.5.0|1.4.7.255|chn|35|fuzhou|broadband|5|4|4|-1|026.069|0119.303|156|10717|35075|4|cn|0|0|+800|n|350000|chn|?|
1.4.8.0|1.4.127.255|chn|44|guangzhou|broadband|5|4|4|-1|023.125|0113.237|156|10770|7392|4|cn|0|0|+800|n|510000|chn|?|
1.4.128.0|1.4.255.255|tha|10|bangkok|broadband|5|4|4|-1|013.749|0100.516|764|12224|11078|4|th|0|0|+700|n|10600|tha|?|
1.5.0.0|1.5.255.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|japan telecom co.|
1.6.0.0|1.7.255.255|ind|tn|chennai|broadband|5|4|3|-1|013.080|0080.270|356|10036|19586|4|in|0|0|+530|n|600001|ind|?|
1.8.0.0|1.8.0.255|chn|11|beijing|broadband|5|4|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|?|
1.8.1.0|1.8.1.255|chn|11|beijing|broadband|5|4|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|knet techonlogy co. ltd.|
1.8.2.0|1.8.7.255|chn|11|beijing|broadband|5|4|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|?|
1.8.8.0|1.8.8.255|chn|11|beijing|broadband|5|4|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|knet techonlogy co. ltd.|
1.8.9.0|1.8.100.255|chn|11|beijing|broadband|5|4|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|?|
1.8.101.0|1.8.102.255|chn|11|beijing|broadband|5|4|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|knet techonlogy co. ltd.|
1.8.103.0|1.8.149.255|chn|11|beijing|broadband|5|4|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|?|
1.8.150.0|1.8.150.255|chn|11|beijing|broadband|5|4|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|knet techonlogy co. ltd.|
1.8.151.0|1.8.255.255|chn|11|beijing|broadband|5|4|4|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|?|
1.9.0.0|1.9.132.255|mys|w|kuala lumpur|broadband|5|4|4|-1|003.151|0101.713|458|11937|2765|4|my|0|0|+800|n|50000|mys|tm net internet service provider|
1.9.133.0|1.9.133.127|mys|m|melaka|broadband|5|5|5|-1|002.201|0102.255|458|11954|14283|4|my|0|0|+800|n|75000|mys|tm net internet service provider|
1.9.133.128|1.9.255.255|mys|w|kuala lumpur|broadband|5|4|4|-1|003.151|0101.713|458|11937|2765|4|my|0|0|+800|n|50000|mys|tm net internet service provider|
1.10.0.0|1.10.7.255|chn|44|guangzhou|broadband|5|4|4|-1|023.125|0113.237|156|10770|7392|4|cn|0|0|+800|n|510000|chn|?|
1.10.8.0|1.10.9.255|chn|35|fuzhou|broadband|5|4|4|-1|026.069|0119.303|156|10717|35075|4|cn|0|0|+800|n|350000|chn|?|
1.10.10.0|1.10.10.255|aus|ql|milton|broadband|5|5|4|-1|-27.471|0153.005|36|694|22581|3|au|0|0|+1000|n|4064|aus|?|
1.10.11.0|1.10.15.255|chn|35|fuzhou|broadband|5|4|4|-1|026.069|0119.303|156|10717|35075|4|cn|0|0|+800|n|350000|chn|?|
1.10.16.0|1.10.127.255|chn|44|guangzhou|broadband|5|4|4|-1|023.125|0113.237|156|10770|7392|4|cn|0|0|+800|n|510000|chn|?|
1.10.128.0|1.10.255.255|tha|10|bangkok|broadband|5|4|4|-1|013.749|0100.516|764|12224|11078|4|th|0|0|+700|n|10600|tha|?|
1.11.0.0|1.11.95.255|kor|11|seoul|cable|5|4|4|-1|037.563|0126.993|410|25025|2261|4|kr|0|0|+900|n|135600|kor|cj-cablenet|
1.11.96.0|1.11.127.255|kor|11|seoul|cable|5|4|4|-1|037.563|0126.993|410|25025|2261|4|kr|0|0|+900|n|135600|kor|chungnam broadcastin co.|
1.11.128.0|1.11.255.255|kor|11|seoul|cable|5|4|4|-1|037.563|0126.993|410|25025|2261|4|kr|0|0|+900|n|135600|kor|dreamcitymedia|
1.12.0.0|1.15.255.255|chn|11|beijing|broadband|5|4|3|-1|039.912|0116.389|156|10664|3036|4|cn|0|0|+800|n|100000|chn|cnnic|
1.16.0.0|1.19.255.255|kor|11|seoul|broadband|5|4|3|-1|037.563|0126.993|410|25025|2261|4|kr|0|0|+900|n|135600|kor|?|
1.20.0.0|1.20.127.255|tha|10|bangkok|mobile|5|4|4|-1|013.749|0100.516|764|12224|11078|4|th|0|0|+700|n|10600|tha|tot public company limited|
1.20.128.0|1.20.255.255|tha|10|bangkok|mobile|5|4|4|-1|013.749|0100.516|764|12224|11078|4|th|0|0|+700|n|10600|tha|?|
1.21.0.0|1.21.13.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.21.14.0|1.21.43.255|jpn|13|tokyo|broadband|5|5|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.21.44.0|1.21.255.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.22.0.0|1.22.25.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.26.0|1.22.27.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.28.0|1.22.33.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.34.0|1.22.35.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.36.0|1.22.41.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.42.0|1.22.43.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.44.0|1.22.44.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.45.0|1.22.45.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.46.0|1.22.49.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.50.0|1.22.51.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.52.0|1.22.54.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.55.0|1.22.55.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.56.0|1.22.57.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.58.0|1.22.63.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.64.0|1.22.67.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.68.0|1.22.71.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.72.0|1.22.74.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.75.0|1.22.79.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
